Time [s],Channel 0,Channel 1
101.608155740,1,1
101.611335670,0,1
101.628036010,0,0
101.631029030,1,0
101.648026150,1,1
101.650900760,0,1
101.667959000,0,0
101.671080900,1,0
101.688047170,1,1
101.690906210,0,1
101.711708110,0,0
101.714723220,1,0
101.728261230,1,1
101.731196660,0,1
101.748043670,0,0
101.751036930,1,0
101.768158370,1,1
101.771060420,0,1
101.787828850,0,0
101.790742910,1,0
101.808080220,1,1
101.810968560,0,1
101.828147170,0,0
101.831230530,1,0
101.847972540,1,1
101.850868610,0,1
101.868071710,0,0
101.871029200,1,0
101.888226900,1,1
101.891089620,0,1
101.907951600,0,0
101.910917330,1,0
101.928029190,1,1
101.930947470,0,1
101.947944070,0,0
101.950920730,1,0
101.968139290,1,1
101.971030850,0,1
101.988203200,0,0
101.991355850,1,0
102.008088340,1,1
102.011032980,0,1
102.028113860,0,0
102.031676290,1,0
102.048196980,1,1
102.051079920,0,1
102.067946100,0,0
102.070904950,1,0
102.088162980,1,1
102.091082490,0,1
102.108047590,0,0
102.111128590,1,0
102.127995050,1,1
102.130902210,0,1
102.147969560,0,0
102.151032080,1,0
102.168295870,1,1
102.171182350,0,1
102.188253240,0,0
102.191245920,1,0
102.208128620,1,1
102.211031160,0,1
102.227961290,0,0
102.230931700,1,0
102.248125830,1,1
102.251027550,0,1
102.267929600,0,0
102.270914020,1,0
102.288330700,1,1
102.291204970,0,1
102.307962420,0,0
102.311090720,1,0
102.327980130,1,1
102.330888990,0,1
102.348176030,0,0
102.352369640,1,0
102.368190910,1,1
102.371122270,0,1
102.387988330,0,0
102.390981740,1,0
102.408043260,1,1
102.410977810,0,1
102.427954660,0,0
102.430961920,1,0
102.448013840,1,1
102.450882990,0,1
102.468131640,0,0
102.471214110,1,0
102.487986700,1,1
102.490904630,0,1
102.507973560,0,0
102.510880240,1,0
102.528126530,1,1
102.530993430,0,1
102.547976170,0,0
102.550947810,1,0
102.568041510,1,1
102.570915450,0,1
102.587933180,0,0
102.590966980,1,0
102.608021240,1,1
102.610896380,0,1
102.628209370,0,0
102.631295400,1,0
102.648181000,1,1
102.651169990,0,1
102.668227480,0,0
102.671246010,1,0
102.688487280,1,1
102.691367820,0,1
102.711910230,0,0
102.714928670,1,0
102.728344850,1,1
102.731245150,0,1
102.747947470,0,0
102.750947080,1,0
102.768101500,1,1
102.771003030,0,1
102.788144090,0,0
102.791267050,1,0
102.808013270,1,1
102.810885030,0,1
102.828243890,0,0
102.831255400,1,0
102.848116490,1,1
102.851016580,0,1
102.867952610,0,0
102.870918720,1,0
102.888125900,1,1
102.891030320,0,1
102.907945150,0,0
102.910933040,1,0
102.928291570,1,1
102.931181540,0,1
102.947910450,0,0
102.951030780,1,0
102.967971820,1,1
102.970846030,0,1
102.987991370,0,0
102.990972190,1,0
103.008121490,1,1
103.011020680,0,1
103.028153880,0,0
103.031172460,1,0
103.048021020,1,1
103.050950680,0,1
103.068121190,0,0
103.071089890,1,0
103.088069200,1,1
103.090932550,0,1
103.107956050,0,0
103.111063630,1,0
103.128041590,1,1
103.131029970,0,1
103.148085860,0,0
103.151092400,1,0
103.168340660,1,1
103.171256140,0,1
103.188231520,0,0
103.191510440,1,0
103.208347810,1,1
103.211336110,0,1
103.227927600,0,0
103.230935620,1,0
103.248019260,1,1
103.250907650,0,1
103.267983050,0,0
103.271092050,1,0
103.288193340,1,1
103.291119660,0,1
103.308090800,0,0
103.311108510,1,0
103.328060920,1,1
103.330970180,0,1
103.347997040,0,0
103.351007920,1,0
103.368331870,1,1
103.371317880,0,1
103.387959140,0,0
103.390943130,1,0
103.408124930,1,1
103.411000120,0,1
103.427940360,0,0
103.431084730,1,0
103.448004750,1,1
103.450920400,0,1
103.468275320,0,0
103.471259310,1,0
103.488313950,1,1
103.491227350,0,1
103.507997300,0,0
103.510974600,1,0
103.528045570,1,1
103.530942570,0,1
103.548238100,0,0
103.551238770,1,0
103.568040400,1,1
103.570940980,0,1
103.588352420,0,0
103.591524540,1,0
103.608042570,1,1
103.610965910,0,1
103.628112180,0,0
103.631079500,1,0
103.648215740,1,1
103.651110660,0,1
103.667977940,0,0
103.670988920,1,0
103.688023940,1,1
103.690913820,0,1
103.712352370,0,0
103.715395860,1,0
103.728146860,1,1
103.731043610,0,1
103.748108180,0,0
103.751235920,1,0
103.767982690,1,1
103.770853180,0,1
103.788019530,0,0
103.791306250,1,0
103.808208340,1,1
103.811133630,0,1
103.827972110,0,0
103.830958440,1,0
103.848188730,1,1
103.851101910,0,1
103.868212800,0,0
103.871275980,1,0
103.888180430,1,1
103.891081500,0,1
103.907943890,0,0
103.911071720,1,0
103.928111660,1,1
103.931026990,0,1
103.948089170,0,0
103.951120120,1,0
103.968046110,1,1
103.970912590,0,1
103.988205580,0,0
103.991181230,1,0
104.008019110,1,1
104.010989880,0,1
104.028168900,0,0
104.031207450,1,0
104.048020000,1,1
104.050911820,0,1
104.067980610,0,0
104.071093960,1,0
104.088948130,1,1
104.091781940,0,1
104.108083640,0,0
104.111053010,1,0
104.128347670,1,1
104.131252210,0,1
104.148041800,0,0
104.151031140,1,0
104.168272240,1,1
104.171185960,0,1
104.194432920,0,0
104.198066420,1,0
104.208720010,1,1
104.211772060,0,1
104.228890840,0,0
104.232004570,1,0
104.248517760,1,1
104.251245160,0,1
104.268201900,0,0
104.271192080,1,0
104.288341360,1,1
104.291245050,0,1
104.308085180,0,0
104.311092130,1,0
104.328038800,1,1
104.330938230,0,1
104.348160260,0,0
104.351174020,1,0
104.368306300,1,1
104.371205310,0,1
104.388121290,0,0
104.391252800,1,0
104.408027780,1,1
104.410920910,0,1
104.428130900,0,0
104.431092540,1,0
104.448209700,1,1
104.451076440,0,1
104.468120710,0,0
104.471116260,1,0
104.488042600,1,1
104.490927430,0,1
104.507988150,0,0
104.510959730,1,0
104.528031560,1,1
104.530913390,0,1
104.547955390,0,0
104.551110310,1,0
104.568062300,1,1
104.570961660,0,1
104.588106560,0,0
104.591096570,1,0
104.608072320,1,1
104.611244880,0,1
104.628117640,0,0
104.631104400,1,0
104.648126920,1,1
104.650996300,0,1
104.667940800,0,0
104.670947500,1,0
104.688123080,1,1
104.691303880,0,1
104.712543310,0,0
104.715785750,1,0
104.728094490,1,1
104.731136440,0,1
104.748108370,0,0
104.751097780,1,0
104.768070840,1,1
104.770928050,0,1
104.787985180,0,0
104.790941960,1,0
104.808134710,1,1
104.811011060,0,1
104.827946120,0,0
104.830978400,1,0
104.848061110,1,1
104.850948000,0,1
104.867968630,0,0
104.871097900,1,0
104.887963830,1,1
104.890835730,0,1
104.908094400,0,0
104.911052050,1,0
104.928144070,1,1
104.931007930,0,1
104.947983800,0,0
104.950975910,1,0
104.968023820,1,1
104.970981550,0,1
104.988129120,0,0
104.991215530,1,0
105.008071690,1,1
105.010940190,0,1
105.028166600,0,0
105.031277850,1,0
105.049213810,1,1
105.052323560,0,1
105.068110530,0,0
105.071065880,1,0
105.088066290,1,1
105.090912110,0,1
